Employee Id,Emplyee name,Age,Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole
1,Barak Sali,41,Yes,Travel_Rarely,1102,Sales,2,Life Sciences,Female,94,2,Sales Executive,Single,5993,19479,8,Yes,11,3,0,8,0,6,4
2,Mumin Yusha,49,No,Travel_Frequently,279,Research & Development,1,Life Sciences,Male,61,2,Research Scientist,Married,5130,24907,1,No,23,4,1,10,3,10,7
4,Cordia M Knopp,37,Yes,Travel_Rarely,1373,Research & Development,2,Other,Male,92,1,Laboratory Technician,Single,2090,2396,6,Yes,15,3,0,7,3,0,0
5,Burton C Jin,33,No,Travel_Frequently,1392,Research & Development,4,Life Sciences,Female,56,1,Research Scientist,Married,2909,23159,1,Yes,11,3,0,8,3,8,7
7,Femi Grek,27,No,Travel_Rarely,591,Research & Development,1,Medical,Male,40,1,Laboratory Technician,Married,3468,16632,9,No,12,3,1,6,3,2,2
8,Hugh N Chavira,32,No,Travel_Frequently,1005,Research & Development,2,Life Sciences,Male,79,1,Laboratory Technician,Single,3068,11864,0,No,13,3,0,8,2,7,7
10,Lucius C Moorhead,59,No,Travel_Rarely,1324,Research & Development,3,Medical,Female,81,1,Laboratory Technician,Married,2670,9964,4,Yes,20,4,3,12,3,1,0
11,Deane I Keown,30,No,Travel_Rarely,1358,Research & Development,1,Life Sciences,Male,67,1,Laboratory Technician,Divorced,2693,13335,1,No,22,4,1,1,2,1,0
12,Joannie E Wolters,38,No,Travel_Frequently,216,Research & Development,3,Life Sciences,Male,44,3,Manufacturing Director,Single,9526,8787,0,No,21,4,0,10,2,9,7
13,Christene L Mccaleb,36,No,Travel_Rarely,1299,Research & Development,3,Medical,Male,94,2,Healthcare Representative,Married,5237,16577,6,No,13,3,2,17,3,7,7
14,Alline V Kushner,35,No,Travel_Rarely,809,Research & Development,3,Medical,Male,84,1,Laboratory Technician,Married,2426,16479,0,No,13,3,1,6,5,5,4
15,Lala C Marquez,29,No,Travel_Rarely,153,Research & Development,2,Life Sciences,Female,49,2,Laboratory Technician,Single,4193,12682,0,Yes,12,3,0,10,3,9,5
16,Derick A Macey,31,No,Travel_Rarely,670,Research & Development,1,Life Sciences,Male,31,1,Research Scientist,Divorced,2911,15170,1,No,17,3,1,5,1,5,2
18,Eda O Brase,34,No,Travel_Rarely,1346,Research & Development,2,Medical,Male,93,1,Laboratory Technician,Divorced,2661,8758,0,No,11,3,1,3,2,2,2
19,Willis D Weissman,28,Yes,Travel_Rarely,103,Research & Development,3,Life Sciences,Male,50,1,Laboratory Technician,Single,2028,12947,5,Yes,14,3,0,6,4,4,2
20,Mariam F Pinheiro,29,No,Travel_Rarely,1389,Research & Development,4,Life Sciences,Female,51,3,Manufacturing Director,Divorced,9980,10195,1,No,11,3,1,10,1,10,9
21,Malcom L Meister,32,No,Travel_Rarely,334,Research & Development,2,Life Sciences,Male,80,1,Research Scientist,Divorced,3298,15053,0,Yes,12,3,2,7,5,6,2
22,Holli G Ethridge,22,No,Non-Travel,1123,Research & Development,2,Medical,Male,96,1,Laboratory Technician,Divorced,2935,7324,1,Yes,13,3,2,1,2,1,0
23,Cole N Poling,53,No,Travel_Rarely,1219,Sales,4,Life Sciences,Female,78,4,Manager,Married,15427,22021,2,No,16,3,0,31,3,25,8
